# Generated curated bigrams for multilingual keyboard parity.
# Format: prev<TAB>next<TAB>count
dobro	jutro	1500000
dobar	dan	1300000
hvala	puno	1400000
molim	te	1400000
ne	znam	1500000
mislim	da	1400000
u	redu	1200000
vidimo	se	1400000
vrlo	dobro	1000000
na	primjer	900000
bez	problema	900000
javi	se	900000
poslije	posla	1400000
sastanak	počinje	900000
klijent	pita	1400000
vlak	polazi	1400000
apoteka	zatvara	1400000
obitelj	dolazi	1400000
telefon	se	1400000
sutra	ujutro	1400000
mona	lisa	1200000
albert	einstein	1200000
marie	curie	1200000
isaac	newton	1200000
charles	darwin	1100000
william	shakespeare	1100000
ludwig	van	1000000
van	beethoven	1000000
johann	sebastian	1000000
sebastian	bach	1000000
wolfgang	amadeus	1000000
amadeus	mozart	1000000
vincent	van	1100000
van	gogh	1100000
leonardo	da	1100000
da	vinci	1100000
frida	kahlo	1000000
pablo	picasso	1100000
galileo	galilei	1000000
nelson	mandela	1000000
mahatma	gandhi	1000000
taj	mahal	1000000
machu	picchu	1000000
big	ben	1000000
louvre	museum	900000
grand	canyon	900000
notre	dame	900000
eiffelov	toranj	900000
prije	sastanka	1400000
ovaj	tjedan	1400000
kod	kuće	1400000
jer	je	1400000
je	važno	1400000
kad	imaš	1400000
imaš	vremena	1400000
bok	možeš	1400000
javi	kad	1400000
pošalji	mi	1400000
hvala	za	1400000
ne	zaboravi	1400000
brza	bilješka	1400000
treba	provjeriti	1400000
za	sutra	1400000
podsjeti	me	1400000
pita	za	1400000
treba	poslati	1400000
izvještaj	spominje	1400000
mama	pita	1400000
tata	može	1400000
može	uzeti	1400000
djeca	žele	1400000
polazi	za	1400000
treba	rezervirati	1400000
karta	za	1400000
stanica	ima	1400000
hotel	potvrđuje	1400000
autobus	dolazi	1400000
dolazi	do	1400000
tramvaj	ima	1400000
spremi	kartu	1400000
kartu	za	1400000
ruta	se	1400000
se	mijenja	1400000
mijenja	za	1400000
taksi	čeka	1400000
čeka	kod	1400000
sat	počinje	1400000
učitelj	spominje	1400000
zadaća	je	1400000
škola	zatvara	1400000
ispit	traži	1400000
liječnik	potvrđuje	1400000
zatvara	za	1400000
moram	pokupiti	1400000
termin	je	1400000
je	za	1400000
recept	ostaje	1400000
ostaje	kod	1400000
treba	kupiti	1400000
kupovina	uključuje	1400000
narudžba	dolazi	1400000
cijena	se	1400000
kava	je	1400000
večera	će	1400000
će	biti	1400000
recept	koristi	1400000
molitva	počinje	1400000
počinje	prije	1400000
obitelj	ide	1400000
poruka	govori	1400000
crkva	otvara	1400000
otvara	za	1400000
knjiga	citira	1400000
sud	čeka	1400000
odvjetnik	priprema	1400000
zakon	mijenja	1400000
policija	čuva	1400000
sudac	traži	1400000
vlada	priprema	1400000
ministar	govori	1400000
glasanje	počinje	1400000
stranka	odgovara	1400000
odgovara	na	1400000
grad	mijenja	1400000
utakmica	počinje	1400000
momčad	trenira	1400000
trenira	za	1400000
igrač	provjerava	1400000
stadion	otvara	1400000
utrka	prolazi	1400000
prolazi	kroz	1400000
najam	se	1400000
se	plaća	1400000
plaća	za	1400000
provjeri	račun	1400000
račun	za	1400000
budžet	pokriva	1400000
banka	potvrđuje	1400000
spremi	osiguranje	1400000
osiguranje	za	1400000
kuća	treba	1400000
popravak	traži	1400000
internet	radi	1400000
ključ	ostaje	1400000
selidba	koristi	1400000
film	počinje	1400000
počinje	nakon	1400000
glazba	nastavlja	1400000
podcast	govori	1400000
serija	dolazi	1400000
igra	radi	1400000
radi	na	1400000
se	puni	1400000
datoteka	ostaje	1400000
stranica	pokazuje	1400000
lozinka	radi	1400000
radi	za	1400000
nadogradnja	je	1400000
muzej	prikazuje	1400000
knjiga	objašnjava	1400000
povijest	spominje	1400000
znanost	traži	1400000
slika	ostaje	1400000
nazovi	kad	1400000
termin	se	1400000
spremi	adresu	1400000
adresu	za	1400000
kalendar	potvrđuje	1400000
poruka	je	1400000
