# Generated curated bigrams for multilingual keyboard parity.
# Format: prev<TAB>next<TAB>count
dobré	ráno	1500000
dobrý	deň	1300000
ďakujem	pekne	1400000
prosím	ťa	1300000
neviem	ešte	1500000
myslím	že	1400000
v	poriadku	1200000
uvidíme	sa	1400000
veľmi	dobre	1000000
napríklad	toto	900000
bez	problému	900000
ozvi	sa	1400000
po	práci	1400000
schôdzka	začína	900000
klient	žiada	1400000
vlak	odchádza	1400000
lekáreň	zatvára	1400000
rodina	príde	1400000
telefón	sa	1400000
zajtra	ráno	1400000
mona	lisa	1200000
albert	einstein	1200000
marie	curie	1200000
isaac	newton	1200000
charles	darwin	1100000
william	shakespeare	1100000
ludwig	van	1000000
van	beethoven	1000000
johann	sebastian	1000000
sebastian	bach	1000000
wolfgang	amadeus	1000000
amadeus	mozart	1000000
vincent	van	1100000
van	gogh	1100000
leonardo	da	1100000
da	vinci	1100000
frida	kahlo	1000000
pablo	picasso	1100000
galileo	galilei	1000000
nelson	mandela	1000000
mahatma	gandhi	1000000
taj	mahal	1000000
machu	picchu	1000000
big	ben	1000000
louvre	museum	900000
grand	canyon	900000
notre	dame	900000
eiffelova	veža	900000
pred	schôdzkou	1400000
dnes	večer	1400000
tento	týždeň	1400000
lebo	je	1400000
je	to	1400000
to	dôležité	1400000
keď	máš	1400000
máš	čas	1400000
ahoj	môžeš	1400000
sa	keď	1400000
pošli	mi	1400000
ďakujem	za	1400000
rýchla	poznámka	1400000
treba	skontrolovať	1400000
na	zajtra	1400000
pripomeň	mi	1400000
treba	poslať	1400000
správa	spomína	1400000
mama	sa	1400000
sa	pýta	1400000
otec	môže	1400000
môže	vziať	1400000
deti	chcú	1400000
treba	rezervovať	1400000
lístok	na	1400000
stanica	má	1400000
hotel	potvrdzuje	1400000
autobus	príde	1400000
metro	má	1400000
ulož	lístok	1400000
trasa	sa	1400000
sa	mení	1400000
taxi	čaká	1400000
hodina	začína	1400000
učiteľ	spomína	1400000
úloha	je	1400000
škola	zatvára	1400000
skúška	vyžaduje	1400000
lekár	potvrdzuje	1400000
musím	vyzdvihnúť	1400000
termín	je	1400000
je	na	1400000
recept	ostáva	1400000
treba	kúpiť	1400000
nákup	obsahuje	1400000
objednávka	príde	1400000
cena	sa	1400000
káva	je	1400000
večera	bude	1400000
recept	používa	1400000
modlitba	začína	1400000
rodina	ide	1400000
správa	hovorí	1400000
kostol	otvára	1400000
kniha	cituje	1400000
súd	čaká	1400000
advokát	pripravuje	1400000
zákon	mení	1400000
polícia	drží	1400000
sudca	vyžaduje	1400000
vláda	pripravuje	1400000
minister	hovorí	1400000
hlasovanie	začína	1400000
strana	odpovedá	1400000
mesto	mení	1400000
zápas	začína	1400000
tím	trénuje	1400000
hráč	kontroluje	1400000
štadión	otvára	1400000
preteky	idú	1400000
nájom	sa	1400000
sa	platí	1400000
skontroluj	účet	1400000
rozpočet	pokrýva	1400000
banka	potvrdzuje	1400000
ulož	poistenie	1400000
dom	potrebuje	1400000
oprava	vyžaduje	1400000
internet	funguje	1400000
kľúč	ostáva	1400000
sťahovanie	používa	1400000
film	začína	1400000
hudba	pokračuje	1400000
podcast	hovorí	1400000
seriál	príde	1400000
hra	funguje	1400000
sa	nabíja	1400000
súbor	ostáva	1400000
stránka	ukazuje	1400000
heslo	funguje	1400000
aktualizácia	je	1400000
múzeum	ukazuje	1400000
kniha	vysvetľuje	1400000
história	spomína	1400000
veda	vyžaduje	1400000
obraz	ostáva	1400000
zavolaj	keď	1400000
termín	sa	1400000
ulož	adresu	1400000
kalendár	potvrdzuje	1400000
správa	je	1400000
